,Name,Team,Age,Pos1,Pos2,Pos3,Tackles,Interceptions,Fouls,Offsides Won,Clearances,Dribbled Past,Blocks,Goals,Assists,Shots,Key Passes,Dribbles,Fouled,Offsides,Dispossessed,Bad Controls,Passes,Pass Accuracy,Crosses,Long Balls,Through Balls
1,Andrew Surman,Bournemouth,29,CM,LM,NA,0.928571429,2.071428571,0.7,0,1.0625,1.285714286,1.5,0,1.5,0.444444444,1.571428571,0.571428571,0.5,0,0.875,0.888888889,1.824242424,1.117955439,0.333333333,2.47826087,2.5
2,Antoine Griezmann,Atletico Madrid,25,ST,LW,RW,1.071428571,0.714285714,0.8,0,0.5,1,0.5,7.586206897,2.5,2.666666667,2,1.142857143,1,2,1.625,2,1.081818182,1.02621232,1,0.565217391,2.5
3,Carlos Bacca,AC Milan,29,ST,NA,NA,0.214285714,0.214285714,0.8,0.5,0.375,0.428571429,0,6.206896552,1,2.222222222,1.571428571,1.142857143,0.6,7,2,2.222222222,0.536363636,0.956749672,0.333333333,0.260869565,2.5
4,Craig Dawson,West Brom,26,CB,RB,NA,1.142857143,1.571428571,0.7,1,2.6875,1.571428571,3.5,1.379310345,0,1.111111111,1,0.285714286,0.7,0.5,0.5,0.888888889,0.890909091,0.817824377,2.333333333,0.956521739,0
5,Darren Fletcher,West Brom,32,CM,NA,NA,1,0.928571429,0.5,0,0.5625,1.714285714,1,0.344827586,1.5,0.666666667,1.142857143,1.142857143,0.8,0,1.875,1.222222222,1.178787879,1.024901704,1,1.217391304,0
6,Dennis Appiah,Caen,24,LB,RB,NA,2.642857143,1.285714286,0.9,0.5,1.625,2,1.5,0.344827586,0.5,0.333333333,1,1.142857143,0.4,0.5,0.75,1,0.739393939,0.874180865,2.333333333,0.47826087,0
7,Faycal Fajr,Deportivo la Coruna,27,CAM,LW,RW,0.928571429,0.928571429,0.7,0,0.25,1,0,1.724137931,1.5,1.333333333,2.142857143,0.428571429,0.9,0.5,0.75,1.111111111,1.154545455,1.077326343,3,1.173913043,2.5
8,Georginio Wijnaldum,Newcastle,25,CM,LM,NA,0.714285714,0.5,0.4,0,0.25,0.714285714,1,3.793103448,2.5,1.555555556,1.714285714,2,1.3,0.5,2.25,1.666666667,0.996969697,1.111402359,0.666666667,0.434782609,2.5
9,Harry Kane,Tottenham,22,ST,CAM,NA,0.571428571,0.428571429,1.1,0,0.5,0.428571429,1,8.620689655,0.5,4.666666667,1.714285714,1.857142857,1.4,4,3,2,0.766666667,0.958060288,0.333333333,0.52173913,0
10,Heurelho Gomes,Watford,35,GK,NA,NA,0.071428571,0.071428571,0.1,0,1.25,0,0,0,0,0,0,0,0.2,0,0,0,0.763636364,0.608125819,0,3.956521739,0
11,Jan Oblak,Atletico Madrid,23,GK,NA,NA,0,0.071428571,0,0,0.375,0,0,0,0,0,0,0,0.1,0,0,0.111111111,0.566666667,0.610747051,0,2.217391304,0
12,Jean Michael Seri,Nice,24,CM,NA,NA,0.928571429,0.642857143,0.8,0,0.3125,1.285714286,0.5,1.034482759,3,1.444444444,1.857142857,1.857142857,1.5,0.5,2.125,1.333333333,2.160606061,1.165137615,2,1.956521739,5
13,Jose Callejon,Napoli,29,LM,RM,NA,0.785714286,0.428571429,0.6,0,0.3125,1.142857143,0,2.413793103,3.5,1.777777778,1.714285714,0.285714286,1.6,2.5,1,0.888888889,1.072727273,1.086500655,0.333333333,0.217391304,2.5
14,Juan Mata,Man United,28,CAM,LW,RW,0.571428571,0.428571429,0.6,0,0.3125,1.714285714,0,2.068965517,2.5,1.666666667,2,1.142857143,0.8,1,1.75,0.888888889,1.436363636,1.169069463,1.666666667,1.130434783,2.5
15,Julien Feret,Caen,34,CM,NA,NA,0.785714286,0.785714286,0.4,0,0.6875,1.857142857,0.5,1.379310345,4,0.888888889,2.714285714,1.571428571,1.2,0.5,1.875,2.111111111,1.272727273,0.97378768,3,1.304347826,2.5
16,Kasper Schmeichel,Leicester,29,GK,NA,NA,0,0.071428571,0,0,0.5,0.142857143,0,0,0,0,0.142857143,0,0,0,0,0,0.915151515,0.467889908,0,3.826086957,0
17,Manuel Pucciarelli,Empoli,25,ST,NA,NA,0.714285714,0.357142857,1.2,0,0.0625,1.285714286,0,2.068965517,1.5,1.666666667,1.714285714,1.428571429,1.5,2,2.5,2,0.815151515,1.089121887,0.666666667,0.086956522,2.5
18,Marc Albrighton,Leicester,26,LM,RM,NA,1.214285714,0.928571429,0.6,0,0.3125,1.714285714,0,0.689655172,3,1.222222222,2.285714286,1.857142857,0.7,0.5,0.875,1.111111111,0.727272727,0.836173001,4.666666667,0.652173913,2.5
19,Marek Hamsik,Napoli,28,CAM,NA,NA,1.071428571,0.428571429,0.4,0,0.3125,1.428571429,0.5,2.068965517,5.5,2.444444444,3.571428571,1.428571429,0.7,0.5,1.875,1.111111111,2.403030303,1.134993447,0.666666667,1.913043478,7.5
20,Nampalys Mendy,Nice,24,CM,NA,NA,1.214285714,1.571428571,1,0,0.375,0.571428571,1,0.344827586,1,0.222222222,0.285714286,1.142857143,1.5,0,0.875,0.777777778,2.351515152,1.207077326,0,1.782608696,0
21,Olivier Giroud,Arsenal,29,ST,NA,NA,0.642857143,0.214285714,1.1,0,0.4375,0.857142857,0.5,5.517241379,3,3,1.285714286,0.428571429,0.9,3.5,1.5,2.444444444,0.66969697,0.892529489,0.333333333,0.086956522,2.5
22,Orestis Karnezis,Udinese,31,GK,NA,NA,0,0.071428571,0,0,0.3125,0,0,0,0,0,0,0,0.1,0,0,0,0.751515152,0.638269987,0,3.434782609,0
23,Oscar Hiljemark,Palermo,24,CM,NA,NA,0.857142857,0.571428571,0.7,0,0.375,1.285714286,0.5,1.379310345,2.5,0.777777778,1.714285714,0.428571429,0.5,0.5,1.25,1.222222222,0.9,1.057667104,2.666666667,0.47826087,0
24,Remy Vercoutre,Caen,36,GK,NA,NA,0,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0,0.754545455,0.68938401,0,4.956521739,0
25,Ross Barkley,Everton,22,CM,LM,NA,0.642857143,0.285714286,0.8,0,0.3125,1,0.5,2.75862069,4,2.777777778,2.142857143,4.428571429,1.9,0.5,2.5,1.777777778,1.436363636,1.127129751,2,1.173913043,5
26,Ruben Castro,Real Betis,35,LW,RW,ST,0.071428571,0.285714286,0.4,0,0.0625,0.285714286,0.5,6.551724138,2,3,1.142857143,0.428571429,1.6,4.5,1.25,1.666666667,0.754545455,0.985583224,0.666666667,0.304347826,0
27,Ryad Boudebouz,Montpellier,26,CM,RM,ST,0.857142857,0.571428571,0.7,0,0.125,1.571428571,0.5,0.689655172,5.5,1.555555556,4.428571429,2.571428571,1.1,0,4.125,2.111111111,1.518181818,1.01965924,9.333333333,1.695652174,7.5
28,Sergi Enrich,Eibar,26,ST,NA,NA,0.785714286,0.285714286,1.4,0,0.4375,0.285714286,0.5,3.103448276,3,1.333333333,1.142857143,0.428571429,1.4,2,2,2.111111111,0.696969697,0.887287025,0.333333333,0.130434783,2.5
29,Simon Francis,Bournemouth,31,CB,RB,NA,2,1.642857143,0.9,2.5,3.375,1.142857143,3,0,2,0.222222222,1.285714286,1.142857143,0.3,0.5,0.625,0.444444444,1.678787879,1.038007864,2.333333333,2.043478261,0
30,Stephane Ruffier,Saint-Etienne,29,GK,NA,NA,0,0.071428571,0.1,0,0.5625,0.142857143,0,0,0,0,0,0,0.1,0,0,0,0.860606061,0.733944954,0,3,0
31,Toby Alderweireld,Tottenham,27,CB,RB,NA,0.857142857,1.214285714,0.2,6,4.6875,0.571428571,4.5,1.379310345,1,1.222222222,0.428571429,0.285714286,0.1,0,0.25,0.222222222,1.654545455,1.055045872,0.333333333,2.739130435,0
32,Troy Deeney,Watford,28,ST,NA,NA,0.928571429,0.285714286,1.3,0.5,0.8125,0.857142857,0.5,4.482758621,3.5,2.777777778,2.142857143,0.857142857,0.9,2.5,2,2,1.03030303,0.798165138,0,0.391304348,2.5
33,Valere Germain,Nice,26,LW,ST,NA,0.571428571,0.357142857,0.4,0,0.75,0.857142857,0.5,4.827586207,3,1.777777778,1.714285714,0.714285714,1.1,2.5,1.25,2.111111111,0.851515152,1.001310616,0.333333333,0.304347826,2.5
34,Vicente Guaita,Getafe,29,GK,NA,NA,0,0.142857143,0,0,0.75,0.142857143,0,0,0,0,0.142857143,0,0.1,0,0,0.222222222,0.748484848,0.579292267,0,2.652173913,0
35,Wes Morgan,Leicester,32,CB,NA,NA,0.928571429,1.785714286,0.7,3.5,3.5625,0.285714286,5.5,0.689655172,0,0.666666667,0.142857143,0.428571429,0.4,0,0.125,0.333333333,0.651515152,0.975098296,0,0.52173913,0
36,Aaron Cresswell,West Ham,26,LB,NA,NA,0.714285714,1.357142857,0.6,1,1.5,0.714285714,2.5,0.689655172,2,0.888888889,1.571428571,0.428571429,0.8,0,0.625,0.666666667,1.127272727,1.015727392,2.666666667,1.347826087,0
37,Andrea Consigli,Sassuolo,29,GK,NA,NA,0,0,0,0,0.5625,0,0,0,0,0,0,0,0.2,0,0,0,0.927272727,0.867627785,0,3.565217391,0
